10-12-2015 03:24:50 |--| STATUS : ERROR |--| CODE : nn |--| RATE : B2-CREDITCARD-8000 |--| COMPTElogin : test
21-12-2015 12:48:37 |--| STATUS : ERROR |--| CODE : CUJX3RD4 |--| RATE : B2-CREDITCARD-1000 |--| COMPTElogin : darktoine
21-12-2015 13:12:45 |--| STATUS : OK |--| CODE : ktta4njs |--| RATE : RE-FR-SMS-300 |--| COMPTElogin : Hollow57
21-12-2015 13:13:45 |--| STATUS : OK |--| CODE : F276TMHF |--| RATE : RE-FR-INTERNETPLUS-999 |--| COMPTElogin : gueragon
21-12-2015 13:14:56 |--| STATUS : OK |--| CODE : F51332TE |--| RATE : RE-FR-INTERNETPLUS-999 |--| COMPTElogin : gueragon
21-12-2015 13:15:52 |--| STATUS : OK |--| CODE : F518YHTL |--| RATE : RE-FR-INTERNETPLUS-999 |--| COMPTElogin : gueragon
21-12-2015 13:16:46 |--| STATUS : OK |--| CODE : F156TBKS |--| RATE : RE-FR-INTERNETPLUS-999 |--| COMPTElogin : gueragon
21-12-2015 13:16:47 |--| STATUS : OK |--| CODE : CMFZ4WN7 |--| RATE : B2-CREDITCARD-4000 |--| COMPTElogin : 38alexandre38
21-12-2015 13:17:48 |--| STATUS : OK |--| CODE : F934YN4T |--| RATE : RE-FR-INTERNETPLUS-999 |--| COMPTElogin : gueragon
21-12-2015 13:18:11 |--| STATUS : OK |--| CODE : 8hlwnz1s |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : tristan830
21-12-2015 13:18:19 |--| STATUS : OK |--| CODE : Z4IR7JIG |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Stars74
21-12-2015 13:20:14 |--| STATUS : OK |--| CODE : ZJKDUUKG |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Stars74
21-12-2015 13:21:27 |--| STATUS : OK |--| CODE : IUPPWUUG |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Stars74
21-12-2015 13:21:59 |--| STATUS : OK |--| CODE : i7heddws |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : killian29770
21-12-2015 13:22:44 |--| STATUS : OK |--| CODE : CGMU29FB |--| RATE : B2-CREDITCARD-1000 |--| COMPTElogin : Erazzio80
21-12-2015 13:23:04 |--| STATUS : OK |--| CODE : CYQD3RFG |--| RATE : B2-CREDITCARD-1000 |--| COMPTElogin : Erazzio80
21-12-2015 13:26:25 |--| STATUS : OK |--| CODE : abtuhucs |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : gueragon
21-12-2015 13:26:59 |--| STATUS : OK |--| CODE : giwlu7us |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : gueragon
21-12-2015 13:27:32 |--| STATUS : OK |--| CODE : 4wmua8bs |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : gueragon
21-12-2015 13:44:33 |--| STATUS : OK |--| CODE : 7QC8B2UG |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Stars74
21-12-2015 13:45:57 |--| STATUS : OK |--| CODE : GUF1I2CG |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Stars74
21-12-2015 14:06:44 |--| STATUS : OK |--| CODE : 794um7gs |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : pedestra8
21-12-2015 14:18:35 |--| STATUS : OK |--| CODE : ua36duks |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : Dead404
21-12-2015 14:27:21 |--| STATUS : OK |--| CODE : NREBFADC |--| RATE : NEOSURF-2000 |--| COMPTElogin : poupinette
21-12-2015 14:50:34 |--| STATUS : OK |--| CODE : P91RMQ2G |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Nicolasdu973
21-12-2015 14:51:12 |--| STATUS : ERROR |--| CODE : 0605 |--| RATE : RE-FR-INTERNETPLUS-999 |--| COMPTElogin : powa1120
21-12-2015 14:51:18 |--| STATUS : ERROR |--| CODE : 0506 |--| RATE : RE-FR-INTERNETPLUS-999 |--| COMPTElogin : powa1120
21-12-2015 14:51:49 |--| STATUS : ERROR |--| CODE : 7171 |--| RATE : RE-FR-INTERNETPLUS-999 |--| COMPTElogin : powa1120
21-12-2015 14:52:27 |--| STATUS : ERROR |--| CODE : 0586 |--| RATE : RE-FR-INTERNETPLUS-999 |--| COMPTElogin : powa1120
21-12-2015 14:52:29 |--| STATUS : OK |--| CODE : 18I9UMKG |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Nicolasdu975
21-12-2015 14:52:50 |--| STATUS : OK |--| CODE : H9UJUNUG |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Nicolasdu975
21-12-2015 14:53:45 |--| STATUS : OK |--| CODE : 13U19NJG |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Nicolasdu975
21-12-2015 14:54:36 |--| STATUS : OK |--| CODE : D4UPZ6QG |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Nicolasdu975
21-12-2015 15:25:30 |--| STATUS : ERROR |--| CODE : ktta4njs |--| RATE : RE-FR-SMS-300 |--| COMPTElogin : Hollow57
21-12-2015 15:29:09 |--| STATUS : OK |--| CODE : CKMVGRYN |--| RATE : B2-CREDITCARD-700 |--| COMPTElogin : latiinoswatt137
21-12-2015 15:30:46 |--| STATUS : OK |--| CODE : wlf2pwug |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : AymericNeft-Gaming
21-12-2015 15:31:45 |--| STATUS : OK |--| CODE : 7jepui6g |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : AymericNeft-Gaming
21-12-2015 15:32:33 |--| STATUS : OK |--| CODE : 77ue4nug |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : AymericNeft-Gaming
21-12-2015 15:33:22 |--| STATUS : OK |--| CODE : ci2hutfg |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : AymericNeft-Gaming
21-12-2015 15:38:10 |--| STATUS : OK |--| CODE : wwp3ul8g |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : AymericNeft-Gaming
21-12-2015 15:39:23 |--| STATUS : OK |--| CODE : fku3zjwg |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : AymericNeft-Gaming
21-12-2015 15:40:38 |--| STATUS : OK |--| CODE : 9auuw21s |--| RATE : RE-FR-SMS-300 |--| COMPTElogin : thomasforet57
21-12-2015 15:42:44 |--| STATUS : OK |--| CODE : GUP8CLIG |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Nicolasdu975
21-12-2015 15:52:01 |--| STATUS : OK |--| CODE : diue2u9s |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : gueragonu
21-12-2015 15:53:18 |--| STATUS : ERROR |--| CODE : if7r2q9s |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : gueragonu
21-12-2015 15:54:07 |--| STATUS : OK |--| CODE : lf7r2q9s |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : gueragonu
21-12-2015 15:54:36 |--| STATUS : OK |--| CODE : 2uput8ks |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : gueragonu
21-12-2015 15:55:07 |--| STATUS : OK |--| CODE : uwfaz2zs |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : gueragonu
21-12-2015 16:00:33 |--| STATUS : OK |--| CODE : 11umu7ns |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : gueragonu
21-12-2015 16:01:19 |--| STATUS : OK |--| CODE : M26UP7FG |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Nicolasdu976
21-12-2015 16:02:04 |--| STATUS : OK |--| CODE : UU7A689G |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Nicolasdu976
21-12-2015 16:02:14 |--| STATUS : OK |--| CODE : EDB774IG |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Nicolasdu976
21-12-2015 16:02:23 |--| STATUS : OK |--| CODE : 32N7MFIG |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Nicolasdu976
21-12-2015 16:02:30 |--| STATUS : OK |--| CODE : 8LPAWLUG |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Nicolasdu976
21-12-2015 16:02:38 |--| STATUS : ERROR |--| CODE : 9AZL2F9V |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Nicolasdu976
21-12-2015 16:02:43 |--| STATUS : OK |--| CODE : 497uwels |--| RATE : RE-FR-SMS-150 |--| COMPTElogin : EliottDragon
21-12-2015 16:02:45 |--| STATUS : OK |--| CODE : 9AZL2F9G |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Nicolasdu976
21-12-2015 16:21:06 |--| STATUS : OK |--| CODE : WGQ6AW7G |--| RATE : RE-FR-AUDIOTEL-200 |--| COMPTElogin : Gshock6868
21-12-2015 16:23:57 |--| STATUS : OK |--| CODE : 4qhjhmpg |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : AymericNeft-Gaming
21-12-2015 16:24:44 |--| STATUS : OK |--| CODE : aa8er7wg |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : AymericNeft-Gaming
21-12-2015 16:25:38 |--| STATUS : OK |--| CODE : 4z1mga6g |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : AymericNeft-Gaming
21-12-2015 16:26:32 |--| STATUS : OK |--| CODE : puezteqs |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : gueragonu
21-12-2015 16:27:12 |--| STATUS : ERROR |--| CODE : 9AZL2F9V |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Nicolasdu976
21-12-2015 16:27:15 |--| STATUS : OK |--| CODE : czuddhns |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : gueragonu
21-12-2015 16:27:20 |--| STATUS : OK |--| CODE : UU2EUC6G |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Nicolasdu976
21-12-2015 16:29:35 |--| STATUS : OK |--| CODE : 4pgkacpg |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : AymericNeft-Gaming
21-12-2015 16:41:48 |--| STATUS : OK |--| CODE : 9upgcqus |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : gueragonu
21-12-2015 16:48:11 |--| STATUS : OK |--| CODE : RRZWW7IG |--| RATE : RE-FR-AUDIOTEL-200 |--| COMPTElogin : Gshock6868
21-12-2015 16:52:57 |--| STATUS : OK |--| CODE : UDDAT1AG |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : mario94230
21-12-2015 16:57:22 |--| STATUS : OK |--| CODE : Pu7jrr3g |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Niklaus
21-12-2015 17:10:19 |--| STATUS : ERROR |--| CODE : zjkkuwis |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : Merlin45700
21-12-2015 17:12:48 |--| STATUS : OK |--| CODE : 61lfinrs |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : Merlin45700
21-12-2015 17:18:07 |--| STATUS : ERROR |--| CODE : 3532669 |--| RATE : RE-FR-INTERNETPLUS-500 |--| COMPTElogin : gueragona
21-12-2015 17:20:29 |--| STATUS : OK |--| CODE : q4gg7bks |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : Huuntz
21-12-2015 17:20:46 |--| STATUS : OK |--| CODE : 2rg2fkds |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : Huuntz
21-12-2015 17:21:51 |--| STATUS : OK |--| CODE : g7md2ujs |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : gueragona
21-12-2015 17:22:08 |--| STATUS : OK |--| CODE : a8rn7mms |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : gueragona
21-12-2015 17:22:30 |--| STATUS : OK |--| CODE : t8qw6u2s |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : gueragona
21-12-2015 17:22:50 |--| STATUS : OK |--| CODE : lckdk4rs |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : gueragona
21-12-2015 17:22:53 |--| STATUS : OK |--| CODE : w3qu2f4s |--| RATE : RE-BE-SMS-300 |--| COMPTElogin : biboubenja01
21-12-2015 17:23:07 |--| STATUS : OK |--| CODE : mrwm33ds |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : gueragona
21-12-2015 17:23:26 |--| STATUS : OK |--| CODE : beuemg7s |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : gueragona
21-12-2015 17:23:40 |--| STATUS : OK |--| CODE : up33eqcs |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : gueragona
21-12-2015 17:24:01 |--| STATUS : OK |--| CODE : uu3uafps |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : gueragona
21-12-2015 17:24:19 |--| STATUS : OK |--| CODE : tll4am7s |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : gueragona
21-12-2015 17:24:35 |--| STATUS : OK |--| CODE : bu7whdws |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : gueragona
21-12-2015 17:25:24 |--| STATUS : OK |--| CODE : d9p7wfis |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : Huuntz
21-12-2015 17:25:30 |--| STATUS : OK |--| CODE : h7qlupfs |--| RATE : RE-BE-SMS-300 |--| COMPTElogin : biboubenja01
21-12-2015 17:26:06 |--| STATUS : OK |--| CODE : punrbw4s |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : Huuntz
21-12-2015 17:27:41 |--| STATUS : OK |--| CODE : jj7feucs |--| RATE : RE-BE-SMS-300 |--| COMPTElogin : biboubenja01
21-12-2015 17:30:08 |--| STATUS : OK |--| CODE : 7n73iw4s |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : Huuntz
21-12-2015 17:30:13 |--| STATUS : OK |--| CODE : CMFVY9Z5 |--| RATE : B2-CREDITCARD-1500 |--| COMPTElogin : plmpolpo69
21-12-2015 17:33:31 |--| STATUS : OK |--| CODE : ujfltcus |--| RATE : RE-FR-SMS-300 |--| COMPTElogin : john66
21-12-2015 17:33:55 |--| STATUS : ERROR |--| CODE : ujfltcus |--| RATE : RE-FR-SMS-300 |--| COMPTElogin : john66
21-12-2015 17:34:21 |--| STATUS : ERROR |--| CODE : ujfltcus |--| RATE : RE-FR-SMS-300 |--| COMPTElogin : john66
21-12-2015 17:36:31 |--| STATUS : OK |--| CODE : UZMUUZ9G |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : manzana3430
21-12-2015 17:38:32 |--| STATUS : OK |--| CODE : HTF27DPG |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : manzana3430
21-12-2015 17:42:31 |--| STATUS : ERROR |--| CODE : Zjrltn7g |--| RATE :  |--| COMPTElogin : Niklaus
21-12-2015 17:43:54 |--| STATUS : ERROR |--| CODE : zjrltn7g |--| RATE :  |--| COMPTElogin : Niklaus
21-12-2015 17:45:17 |--| STATUS : ERROR |--| CODE : zjrltn7g |--| RATE :  |--| COMPTElogin : Niklaus
21-12-2015 17:46:11 |--| STATUS : OK |--| CODE : Zjrltn7g |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Niklaus
21-12-2015 17:46:57 |--| STATUS : OK |--| CODE : RUDQBAWG |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : manzana3430
21-12-2015 17:56:35 |--| STATUS : OK |--| CODE : CUFCEPVM |--| RATE : B2-CREDITCARD-150 |--| COMPTElogin : agamrouge
21-12-2015 17:56:46 |--| STATUS : ERROR |--| CODE : CUFCEPVM |--| RATE : B2-CREDITCARD-150 |--| COMPTElogin : agamrouge
21-12-2015 17:58:34 |--| STATUS : OK |--| CODE : C5MW9S2G |--| RATE : B2-CREDITCARD-350 |--| COMPTElogin : morad
21-12-2015 17:59:46 |--| STATUS : OK |--| CODE : ujt3z37s |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : jodecorte
21-12-2015 18:01:10 |--| STATUS : ERROR |--| CODE : RUDQBAWG |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : manzana3430
21-12-2015 18:01:27 |--| STATUS : OK |--| CODE : uf3uzahs |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : jodecorte05
21-12-2015 18:01:42 |--| STATUS : OK |--| CODE : mdbua39s |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : jodecorte05
21-12-2015 18:02:07 |--| STATUS : ERROR |--| CODE : zjrltn7g |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Niklaus
21-12-2015 18:03:04 |--| STATUS : OK |--| CODE : bduekj7s |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : gueragoni
21-12-2015 18:03:04 |--| STATUS : OK |--| CODE : uebr7ugs |--| RATE : RE-FR-SMS-200 |--| COMPTElogin : jodecorte05
21-12-2015 18:03:23 |--| STATUS : OK |--| CODE : 4db7ae7s |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : gueragoni
21-12-2015 18:03:41 |--| STATUS : OK |--| CODE : u8nbwccs |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : gueragoni
21-12-2015 18:03:54 |--| STATUS : ERROR |--| CODE : d21uzics |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : gueragoni
21-12-2015 18:04:11 |--| STATUS : OK |--| CODE : d21uzlcs |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : gueragoni
21-12-2015 18:17:32 |--| STATUS : OK |--| CODE : CR4C3YKG |--| RATE : B2-CREDITCARD-600 |--| COMPTElogin : plmpolpo69
21-12-2015 18:24:54 |--| STATUS : OK |--| CODE : 9id39p7s |--| RATE : RE-BE-SMS-300 |--| COMPTElogin : kadir1
21-12-2015 18:25:45 |--| STATUS : OK |--| CODE : ew17ej2s |--| RATE : RE-BE-SMS-300 |--| COMPTElogin : kadir1
21-12-2015 18:26:00 |--| STATUS : OK |--| CODE : dmjbiies |--| RATE : RE-BE-SMS-300 |--| COMPTElogin : kadir1
21-12-2015 18:26:33 |--| STATUS : OK |--| CODE : rd32uh6s |--| RATE : RE-BE-SMS-300 |--| COMPTElogin : kadir1
21-12-2015 18:27:18 |--| STATUS : OK |--| CODE : rhwececs |--| RATE : RE-BE-SMS-300 |--| COMPTElogin : kadir1
21-12-2015 18:27:31 |--| STATUS : OK |--| CODE : ucpjqe7s |--| RATE : RE-BE-SMS-300 |--| COMPTElogin : kadir1
21-12-2015 18:28:19 |--| STATUS : OK |--| CODE : a3i61w6s |--| RATE : RE-BE-SMS-300 |--| COMPTElogin : kadir1
21-12-2015 18:28:28 |--| STATUS : OK |--| CODE : rdcu1mus |--| RATE : RE-BE-SMS-300 |--| COMPTElogin : kadir1
21-12-2015 18:28:58 |--| STATUS : OK |--| CODE : 2hijgtrg |--| RATE : RE-FR-AUDIOTEL-200 |--| COMPTElogin : plmpolpo69
21-12-2015 18:33:05 |--| STATUS : OK |--| CODE : fw9ar3pg |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : geyermathieu
21-12-2015 18:35:42 |--| STATUS : OK |--| CODE : 2ug67uwg |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : geyermathieu
21-12-2015 18:39:30 |--| STATUS : OK |--| CODE : 91ua6rus |--| RATE : RE-FR-SMS-300 |--| COMPTElogin : Snoow59
21-12-2015 18:45:59 |--| STATUS : OK |--| CODE : n77lne6g |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : geyermathieu
21-12-2015 18:45:59 |--| STATUS : OK |--| CODE : iuz8uczs |--| RATE : RE-BE-SMS-300 |--| COMPTElogin : kadir1
21-12-2015 18:46:18 |--| STATUS : OK |--| CODE : i4393wws |--| RATE : RE-BE-SMS-300 |--| COMPTElogin : kadir1
21-12-2015 18:46:45 |--| STATUS : OK |--| CODE : w4jeku4s |--| RATE : RE-BE-SMS-300 |--| COMPTElogin : kadir1
21-12-2015 18:46:57 |--| STATUS : OK |--| CODE : 72796lrs |--| RATE : RE-BE-SMS-300 |--| COMPTElogin : kadir1
21-12-2015 18:47:28 |--| STATUS : OK |--| CODE : 97k7fk4s |--| RATE : RE-BE-SMS-300 |--| COMPTElogin : kadir1
21-12-2015 18:47:49 |--| STATUS : OK |--| CODE : 2wfc9f2s |--| RATE : RE-BE-SMS-300 |--| COMPTElogin : kadir1
21-12-2015 18:58:52 |--| STATUS : OK |--| CODE : ji3awzcs |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : chetty781
21-12-2015 18:59:58 |--| STATUS : OK |--| CODE : eelj7ius |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : chetty781
21-12-2015 19:01:08 |--| STATUS : OK |--| CODE : 8rqrwtus |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : chetty781
21-12-2015 19:13:04 |--| STATUS : OK |--| CODE : C543K9AG |--| RATE : B2-CREDITCARD-500 |--| COMPTElogin : zalzebubdu56
21-12-2015 19:14:33 |--| STATUS : OK |--| CODE : 9t6k23ms |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : bubon46
21-12-2015 19:23:11 |--| STATUS : ERROR |--| CODE : C543K9AG |--| RATE : B2-CREDITCARD-300 |--| COMPTElogin : zalzebubdu56
21-12-2015 19:24:17 |--| STATUS : OK |--| CODE : kur9uu6s |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : AshisogiJizo
21-12-2015 19:24:54 |--| STATUS : OK |--| CODE : 1juwrlfs |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : AshisogiJizo
21-12-2015 19:27:05 |--| STATUS : OK |--| CODE : CHP34JYZ |--| RATE : B2-CREDITCARD-300 |--| COMPTElogin : zalzebubdu56
21-12-2015 19:50:46 |--| STATUS : OK |--| CODE : UC96NWLG |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Ehmote
21-12-2015 19:53:44 |--| STATUS : OK |--| CODE : I64JBUUG |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : IntelCore
21-12-2015 19:54:30 |--| STATUS : OK |--| CODE : 824jjpas |--| RATE : RE-FR-SMS-300 |--| COMPTElogin : Heal2
21-12-2015 20:08:12 |--| STATUS : OK |--| CODE : 6qeulfjg |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Ryvened
21-12-2015 20:09:11 |--| STATUS : OK |--| CODE : cur7uang |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : sorek62
21-12-2015 20:10:05 |--| STATUS : OK |--| CODE : p7z7tt1g |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : sorek62
21-12-2015 20:10:56 |--| STATUS : ERROR |--| CODE : ctzw9h3s |--| RATE : RE-FR-SMS-200 |--| COMPTElogin : nosferatu
21-12-2015 20:10:58 |--| STATUS : OK |--| CODE : dtf6aj2g |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : sorek62
21-12-2015 20:11:11 |--| STATUS : ERROR |--| CODE : ctzw9h3s |--| RATE : RE-FR-SMS-200 |--| COMPTElogin : nosferatu
21-12-2015 20:11:50 |--| STATUS : ERROR |--| CODE : ctzw9h3s |--| RATE : RE-FR-SMS-200 |--| COMPTElogin : nosferatu
21-12-2015 20:11:51 |--| STATUS : OK |--| CODE : uufct69g |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : sorek62
21-12-2015 20:12:55 |--| STATUS : OK |--| CODE : hd1f6l9g |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : sorek62
21-12-2015 20:12:58 |--| STATUS : OK |--| CODE : ctzw9h3s |--| RATE : RE-FR-SMS-300 |--| COMPTElogin : nosferatu
21-12-2015 20:38:17 |--| STATUS : OK |--| CODE : jd898uug |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Whousyydu59
21-12-2015 20:39:07 |--| STATUS : OK |--| CODE : ew9lq67g |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : Whousyydu59
21-12-2015 20:46:16 |--| STATUS : OK |--| CODE : wklu679s |--| RATE : RE-FR-SMS-150 |--| COMPTElogin : louisrodr
21-12-2015 20:49:36 |--| STATUS : OK |--| CODE : 4AKD74WG |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : teuchil
21-12-2015 20:50:22 |--| STATUS : ERROR |--| CODE : W72D7AG |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : teuchil
21-12-2015 20:50:45 |--| STATUS : OK |--| CODE : W7U2D7AG |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : teuchil
21-12-2015 20:53:00 |--| STATUS : OK |--| CODE : 79QBIGBG |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : teuchil
21-12-2015 20:53:45 |--| STATUS : OK |--| CODE : 9UFHKGLG |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : teuchil
21-12-2015 20:54:28 |--| STATUS : OK |--| CODE : UP967WEG |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : teuchil
21-12-2015 21:03:14 |--| STATUS : OK |--| CODE : ugttcwwg |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : martin501
21-12-2015 21:05:53 |--| STATUS : OK |--| CODE : flulrwug |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : martin501
21-12-2015 21:07:18 |--| STATUS : OK |--| CODE : udnjtgig |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : martin501
21-12-2015 21:09:02 |--| STATUS : OK |--| CODE : hl6zaipg |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : martin501
21-12-2015 21:13:10 |--| STATUS : OK |--| CODE : kgkueu7g |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : martin501
21-12-2015 21:13:38 |--| STATUS : ERROR |--| CODE : ak77wdzs |--| RATE : RE-FR-SMS-200 |--| COMPTElogin : Aurdelu
21-12-2015 21:14:07 |--| STATUS : ERROR |--| CODE : ak77wdzs |--| RATE : RE-FR-SMS-200 |--| COMPTElogin : Aurdelu
21-12-2015 21:14:18 |--| STATUS : OK |--| CODE : ntlffgig |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : martin501
21-12-2015 21:15:45 |--| STATUS : OK |--| CODE : queu7wes |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : drecks11
21-12-2015 21:15:59 |--| STATUS : OK |--| CODE : gdhl884s |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : drecks11
21-12-2015 21:17:51 |--| STATUS : OK |--| CODE : ak77wdzs |--| RATE : RE-FR-SMS-150 |--| COMPTElogin : Aurdelu
21-12-2015 21:17:59 |--| STATUS : OK |--| CODE : guzu9u3g |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : martin501
21-12-2015 21:18:05 |--| STATUS : OK |--| CODE : celr7fmg |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : thomasforet57
21-12-2015 21:18:22 |--| STATUS : OK |--| CODE : lhe4gzgs |--| RATE : RE-FR-SMS-150 |--| COMPTElogin : Aurdelu
21-12-2015 21:23:22 |--| STATUS : OK |--| CODE : wp71hzws |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : deezerd77
21-12-2015 21:23:42 |--| STATUS : OK |--| CODE : 7uuznmrg |--| RATE : RE-FR-AUDIOTEL-300 |--| COMPTElogin : thomasforet57
21-12-2015 21:39:36 |--| STATUS : OK |--| CODE : 1fruuges |--| RATE : RE-FR-SMS-450 |--| COMPTElogin : Hunterpro28600
